MAPS CLERMONT TMA CLERMONT               N045.56.37.000 E003.04.10.000 N045.59.26.000 E003.32.21.000 COLOR_CFE-TMA1
                                         N046.15.20.000 E002.55.40.000 N046.15.20.000 E002.55.40.000 COLOR_CFE-TMA1
                                         N046.15.20.000 E002.55.40.000 N046.20.00.000 E002.55.00.000 COLOR_CFE-TMA1
                                         N046.20.00.000 E002.55.00.000 N046.20.00.000 E002.55.00.000 COLOR_CFE-TMA1
                                         N046.20.00.000 E002.55.00.000 N046.20.00.000 E003.34.00.000 COLOR_CFE-TMA1
                                         N045.58.10.000 E003.53.53.000 N045.55.26.000 E004.17.25.000 COLOR_CFE-TMA1
                                         N045.55.26.000 E004.17.25.000 N045.55.26.000 E004.17.25.000 COLOR_CFE-TMA1
                                         N045.55.26.000 E004.17.25.000 N045.17.00.000 E004.37.00.000 COLOR_CFE-TMA1
                                         N045.17.00.000 E004.37.00.000 N045.17.00.000 E004.37.00.000 COLOR_CFE-TMA1
                                         N045.17.00.000 E004.37.00.000 N045.16.00.000 E004.32.00.000 COLOR_CFE-TMA1
                                         N045.16.00.000 E004.32.00.000 N045.16.00.000 E004.32.00.000 COLOR_CFE-TMA1
                                         N045.16.00.000 E004.32.00.000 N045.12.00.000 E004.19.00.000 COLOR_CFE-TMA1
                                         N045.12.00.000 E004.19.00.000 N045.12.00.000 E004.19.00.000 COLOR_CFE-TMA1
                                         N045.12.00.000 E004.19.00.000 N045.58.10.000 E003.53.53.000 COLOR_CFE-TMA1
                                         N044.38.30.000 E002.19.08.000 N044.26.48.000 E002.39.26.000 COLOR_CFE-TMA1
                                         N044.26.48.000 E002.39.26.000 N044.26.48.000 E002.39.26.000 COLOR_CFE-TMA1
                                         N044.26.48.000 E002.39.26.000 N044.26.35.212 E002.39.30.607 COLOR_CFE-TMA1
                                         N044.26.35.212 E002.39.30.607 N044.26.35.212 E002.39.30.607 COLOR_CFE-TMA1
                                         N044.26.35.212 E002.39.30.607 N044.25.24.730 E002.39.54.280 COLOR_CFE-TMA1
                                         N044.25.24.730 E002.39.54.280 N044.25.24.730 E002.39.54.280 COLOR_CFE-TMA1
                                         N044.25.24.730 E002.39.54.280 N044.24.12.494 E002.40.02.236 COLOR_CFE-TMA1
                                         N044.24.12.494 E002.40.02.236 N044.24.12.494 E002.40.02.236 COLOR_CFE-TMA1
                                         N044.24.12.494 E002.40.02.236 N044.23.00.283 E002.39.54.280 COLOR_CFE-TMA1
                                         N044.23.00.283 E002.39.54.280 N044.23.00.283 E002.39.54.280 COLOR_CFE-TMA1
                                         N044.23.00.283 E002.39.54.280 N044.22.19.000 E002.39.41.000 COLOR_CFE-TMA1
                                         N044.22.19.000 E002.39.41.000 N044.22.19.000 E002.39.41.000 COLOR_CFE-TMA1
                                         N044.22.19.000 E002.39.41.000 N044.31.48.000 E002.23.20.000 COLOR_CFE-TMA1
                                         N044.31.48.000 E002.23.20.000 N044.31.48.000 E002.23.20.000 COLOR_CFE-TMA1
                                         N044.31.48.000 E002.23.20.000 N044.31.14.799 E002.22.06.821 COLOR_CFE-TMA1
                                         N044.31.14.799 E002.22.06.821 N044.31.14.799 E002.22.06.821 COLOR_CFE-TMA1
                                         N044.31.14.799 E002.22.06.821 N044.30.21.538 E002.20.39.697 COLOR_CFE-TMA1
                                         N044.30.21.538 E002.20.39.697 N044.30.21.538 E002.20.39.697 COLOR_CFE-TMA1
                                         N044.30.21.538 E002.20.39.697 N044.29.19.194 E002.19.25.286 COLOR_CFE-TMA1
                                         N044.29.19.194 E002.19.25.286 N044.29.19.194 E002.19.25.286 COLOR_CFE-TMA1
                                         N044.29.19.194 E002.19.25.286 N044.28.09.310 E002.18.25.420 COLOR_CFE-TMA1
                                         N044.28.09.310 E002.18.25.420 N044.28.09.310 E002.18.25.420 COLOR_CFE-TMA1
